DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,PRICE_CHANGE,PRICE_CHANGE_PCT,CREATED_AT
2025-10-07,AAPL,256.805,257.4,255.43,256.48,31955776,-0.21,-0.08,2026-01-11 11:54:14.669
2025-10-08,AAPL,256.52,258.52,256.11,258.06,36496895,1.58,0.62,2026-01-11 11:52:30.837
2025-10-08,AAPL,256.52,258.52,256.11,258.06,36496895,1.58,0.62,2026-01-11 11:54:14.669
2025-10-09,AAPL,257.805,258,253.14,254.04,38322012,-4.02,-1.56,2026-01-11 11:52:30.837
2025-10-09,AAPL,257.805,258,253.14,254.04,38322012,-4.02,-1.56,2026-01-11 11:54:14.669
2025-10-10,AAPL,254.94,256.38,244,245.27,61999098,-8.77,-3.45,2026-01-11 11:52:30.837
2025-10-10,AAPL,254.94,256.38,244,245.27,61999098,-8.77,-3.45,2026-01-11 11:54:14.669
2025-10-13,AAPL,249.38,249.69,245.56,247.66,38142942,2.39,0.97,2026-01-11 11:52:30.837
2025-10-13,AAPL,249.38,249.69,245.56,247.66,38142942,2.39,0.97,2026-01-11 11:54:14.669
2025-10-14,AAPL,246.6,248.845,244.7,247.77,35477986,0.11,0.04,2026-01-11 11:52:30.837
2025-10-14,AAPL,246.6,248.845,244.7,247.77,35477986,0.11,0.04,2026-01-11 11:54:14.669
2025-10-15,AAPL,249.485,251.82,247.47,249.34,33893611,1.57,0.63,2026-01-11 11:54:14.669
2025-10-15,AAPL,249.485,251.82,247.47,249.34,33893611,1.57,0.63,2026-01-11 11:52:30.837
2025-10-16,AAPL,248.25,249.04,245.13,247.45,39776974,-1.89,-0.76,2026-01-11 11:52:30.837
2025-10-16,AAPL,248.25,249.04,245.13,247.45,39776974,-1.89,-0.76,2026-01-11 11:54:14.669
2025-10-17,AAPL,248.02,253.38,247.27,252.29,49146961,4.84,1.96,2026-01-11 11:54:14.669
2025-10-17,AAPL,248.02,253.38,247.27,252.29,49146961,4.84,1.96,2026-01-11 11:52:30.837
2025-10-20,AAPL,255.885,264.375,255.63,262.24,90483029,9.95,3.94,2026-01-11 11:54:14.669
2025-10-20,AAPL,255.885,264.375,255.63,262.24,90483029,9.95,3.94,2026-01-11 11:52:30.837
2025-10-21,AAPL,261.88,265.29,261.83,262.77,46695948,0.53,0.2,2026-01-11 11:52:30.837
2025-10-21,AAPL,261.88,265.29,261.83,262.77,46695948,0.53,0.2,2026-01-11 11:54:14.669
2025-10-22,AAPL,262.65,262.85,255.43,258.45,45015254,-4.32,-1.64,2026-01-11 11:52:30.837
2025-10-22,AAPL,262.65,262.85,255.43,258.45,45015254,-4.32,-1.64,2026-01-11 11:54:14.669
2025-10-23,AAPL,259.94,260.62,258.0101,259.58,32754941,1.13,0.44,2026-01-11 11:52:30.837
2025-10-23,AAPL,259.94,260.62,258.0101,259.58,32754941,1.13,0.44,2026-01-11 11:54:14.669
2025-10-24,AAPL,261.19,264.13,259.18,262.82,38253717,3.24,1.25,2026-01-11 11:52:30.837
2025-10-24,AAPL,261.19,264.13,259.18,262.82,38253717,3.24,1.25,2026-01-11 11:54:14.669
2025-10-27,AAPL,264.88,269.12,264.6501,268.81,44888152,5.99,2.28,2026-01-11 11:54:14.669
2025-10-27,AAPL,264.88,269.12,264.6501,268.81,44888152,5.99,2.28,2026-01-11 11:52:30.837
2025-10-28,AAPL,268.985,269.89,268.15,269,41534759,0.19,0.07,2026-01-11 11:52:30.837
